name,type,attribute,time,lat,lng
生駒市総合公園,公園,小明町1807番2 他,,34.71280482,135.7111211
生駒山麓公園,公園,俵口町2088番,,34.70213569,135.6783537
イモ山公園,公園,北田原町2476番8 他,,34.72892319,135.7132106
滝寺公園,公園,元町2丁目208番 他,,34.69078707,135.6907231
むかいやま公園,公園,萩原町673番 他,,34.66354943,135.6975233
ひかりが丘ふれあい公園,公園,ひかりが丘3丁目1658番20 他,,34.74283168,135.7162
鹿ノ台スポーツ公園,公園,鹿ノ台東2丁目9番,,34.73423239,135.7525771
鹿ノ台中央公園,公園,鹿ノ台西1丁目2番,,34.73590216,135.7480175
真弓中央公園,公園,真弓3丁目3900番145,,34.72109418,135.7326793
真弓どんぐり公園,公園,真弓南1丁目4800番222,,34.71642461,135.7293196
四季の森公園,公園,北大和1丁目28番,,34.72620365,135.7262296
やまのたに公園,公園,西白庭台2丁目3番1,,34.7278432,135.7051112
あすか野スポーツ広場,公園,あすか野北2丁目350番830,,34.7129049,135.7180306
門前公園,公園,門前町2491番1,,34.6857476,135.6912933
きたやまスポーツ公園,公園,さつき台2丁目450番1 他,,34.67330853,135.7194214
大瀬ふれあい公園,公園,小瀬町903番1 他,,34.66720896,135.7151219
白庭台みはらし公園,公園,白庭台4丁目2000番569 他,,34.720392,135.713122
生駒市役所,トイレ,東新町8番38号,平日8:30～17:15原則開庁日,34.69197697,135.7005723
HOS生駒北スポーツセンター,トイレ,高山町166番地2,9:00～17:15(12月27日～1月5日は除く）、夜間使用がある場合は21時まで,34.77025339,135.7103238
高山竹林園,トイレ,高山町3440番,9:00～17:00(12月27日～1月5日は除く）,34.749673,135.72097
イモ山公園,トイレ,北田原町2476番8,終日,34.729379,135.713158
鹿ノ台ふれあいホール,トイレ,鹿ノ台南2丁目3番地3,9:00～17:00(12月27日～1月5日は除く）（月曜日休館）,34.73392242,135.7490374
北コミュニティセンターISTAはばたき,トイレ,上町1543番地,9:00～17:00(12月27日～1月5日は除く）（月曜日休館）,34.7185444,135.7225901
花のまちづくりセンター ふろーらむ,トイレ,真弓1丁目11番16,火～日9:00～17:00(12月27日～1月5日は除く）、月曜日が祝日の場合は火曜日利用不可,34.718685,135.725874
生駒市体育協会総合S.C.体育館,トイレ,小明町1807番地1,9:00～17:15(12月27日～1月5日は除く）、夜間使用がある場合は21時まで,34.71169493,135.7106411
生駒山麓公園ふれあいセンター,トイレ,俵口町2088番,9:00～21:00(火曜日休館）,34.70258563,135.6782637
芸術会館美楽来,トイレ,西松ヶ丘2番20号,9:00～17:00(12月27日～1月5日は除く）（月曜日休館）,34.69681644,135.6949325
生駒駅前図書室,トイレ,北新町10番36－501号（ベルテラスいこま5階）,9:00～17:00(12月27日～1月5日は除く）（月曜日休館 第一金曜日休館）,34.6942735,135.6973421
たけまるホール,トイレ,北新町9番28号,9:00～17:00(12月27日～1月5日は除く）（月曜日休館）,34.69389676,135.6966924
ゆとりっと,トイレ,,終日,34.69301,135.697274
セラビーいこま（健康棟）,トイレ,東新町１番３セラビーいこま内,平日8:30～17:15,34.69278,135.698995
市民活動推進センターららポート,トイレ,元町１丁目７番６,月～土9:00～17:00、夜間使用がある場合は19時30分まで,34.691905,135.698254
生駒ふるさとミュージアム,トイレ,山崎町１１番７号,9:00～17:00(12月27日～1月5日は除く）（月曜日休館）,34.690712,135.704399
生駒市立病院,トイレ,東生駒1丁目6番地2,8:00～19:00,34.69093829,135.711186
生駒市福祉センター,トイレ,さつき台2丁目6-1,9:00～17:00(12月27日～1月5日は除く）（月曜日休館）,34.67717827,135.7198713
南コミュニティセンターせせらぎ,トイレ,小瀬町18番地,9:00～17:00(12月27日～1月5日は除く）（月曜日休館）,34.66630911,135.7067925
むかいやま公園体育館,トイレ,萩原町673番地,9:00～17:15(12月27日～1月5日は除く）、夜間使用がある場合は21時まで,34.66328946,135.6963834
グルメシティ北大和店,トイレ,北大和１丁目２３番２,8:00～21:50,34.726238,135.729046
スーパーセンターオークワ生駒上町店,トイレ,上町4439-1,9:00～23:00,34.723039,135.722558
近鉄百貨店生駒店,トイレ,谷田町１６００番地,10:00～20:00（休業日を除く）,34.693809,135.698055
オークワ生駒菜畑店,トイレ,中菜畑２丁目１０７４番,9:00～23:00,34.679935,135.707392
中村屋東生駒店,トイレ,壱分町８３番６,9:00～21:00（定休日及び1/1～1/3は19:00まで）,34.669184,135.716389
マックスバリュ生駒南店,トイレ,小平尾町９３番,7:00～23:00,34.661316,135.707469
コミュニティセンター,トイレ,元町1丁目６－１２生駒市セイセイビル内,,34.692225,135.698768
北コミュニティセンターISTAはばたき,給水,元町1-6-12,9時～22時（施設利用がない場合は19時） 月曜日（祝日除く）12/27～1/5,34.69204696,135.6987024
ベルテラスいこま,給水,北新町10番36－102号,,34.69423163,135.6976855
鹿ノ台ふれあいホール,給水,鹿ノ台南2-34,9時～22時（施設利用がない場合は19時） 月曜日（祝日除く）12/27～1/5,34.73393242,135.7490374
高山竹林園,給水,高山町3440,9時～21時 12/27～1/5,34.74967012,135.7209885
図書会館,給水,辻町238,9時～22時（施設利用がない場合は19時） 月曜日（祝日除く）12/27～1/5,34.69638656,135.7085116
南コミュニティセンター,給水,小瀬町18,9時～22時（施設利用がない場合は19時） 月曜日（祝日除く）12/27～1/5,34.66625912,135.7068025
鬼の茶屋 にしもと,給水,鬼取町394‐1,11時30分～14時 第2、第4水曜日・木曜日,34.67126449,135.6863129
くろんど荘,給水,高山町5035,9時～17時 水曜日,34.76253953,135.7130384
Cafe ふろーらむ,給水,真弓1‐11‐16,4月～10月（9時～18時）・11月～3月（9時～17時） 月・祝祭日,34.71868717,135.7258809
山小舎カフェ 友遊由,給水,西畑町1085,9時～16時 月・木曜日,34.66601421,135.6723547
生駒山麓公園,給水,俵口町2088,9時～17時 火曜日（10～5月）,34.70305904,135.6774187
手打ちうどん 風舞,給水,西畑町487‐1,10時～16時 月・金（不定休）,34.66754962,135.6829011
森のレストラン ラッキーガーデン,給水,鬼取町168,10時～22時 なし,34.6697468,135.6887484
生駒のお宿 城山旅館,給水,門前町15‐12,10時～15時 不定休,34.684955,135.6896677
コスメ＆エステ フサヤ,給水,谷田町1600アントレいこま2階,10時～19時 第3日曜日,34.69379718,135.6978786
RECHERCHE（ルシェルシュ）,給水,東菜畑1-178コーポ五風,10時～18時 月曜日,34.68575176,135.711354
摩波楽茶屋,給水,門前町14‐1,11時～23時 月曜日（祝、1日、16日は営業）,34.68524227,135.6896979
ハーブ工房 ほうざん,給水,門前町16‐1,11時～16時 不定休,34.68480557,135.688802
Cafe 千珠,給水,小瀬町101‐1　メゾンコンフォール105号,8時30分～18時 水曜日、第1木曜日,34.66231676,135.7088971
キッチン・アミア,給水,さつき台2丁目451‐201,9時～19時30分 日曜日,34.67554278,135.7186764
カフェスタ viviana,給水,小明町555－1,9時～18時 日曜日,34.70634234,135.7061693
カフェ風風,給水,萩の台1－2－2　1階,9時～20時 水曜日,34.65616574,135.7090902
たけひめ本店,給水,壱分町1263-9,10時～19時 日曜日,34.67362039,135.7067084
cafe21,給水,小瀬町695,11時～17時 月曜日、第2、4日曜日,34.66529283,135.7087362
焼きたてパンの店 夢飛行,給水,萩の台1－2－2　1階,10時～20時 土・日・祝,34.65616574,135.7090902
(株) 丸松久保本店,給水,高山町6056－2,8時～20時 不定休,34.74676101,135.7197869
まほろば庵,給水,高山町5648,10時～17時 不定休,34.74985524,135.7189286
パティシエ カフェ フラウ,給水,萩の台866-14,11時～17時30分 火曜日、水曜日（不定休）,34.65887507,135.717212
炭火焼き鳥一調,たつた揚げ,生駒市本町6-9,月～金曜17:30～23:00（22:00LO・入店21:30まで）、土曜・祝日17:30～22:30（21:30LO・入店20:30まで）,34.69161,135.697551
極楽や,たつた揚げ,生駒市中菜畑1-55-1,11:30～14:00、16:00～23:00,34.684878,135.706525
有限会社 風遊空間アトリエ・ドイ,たつた揚げ,生駒市喜里が丘1丁目9番18号,火・木曜11:30～16:00（火・木曜のみ営業・要予約）,34.711583,135.692815
